Year,Population,GDP,CO2,Coal CO2
1800,6000000,,0.253,0.253
1801,6113782,,0.267,0.267
1802,6229723,,0.289,0.289
1803,6347862,,0.297,0.297
1804,6468241,,0.333,0.333
1805,6590903,,0.341,0.341
1806,6715891,,0.333,0.333
1807,6843249,,0.377,0.377
1808,6973023,,0.392,0.392
1809,7105258,,0.403,0.403
1810,7302908,,0.418,0.418
1811,7502686,,0.447,0.447
1812,7728031,,0.484,0.484
1813,7980135,,0.520,0.520
1814,8240464,,0.561,0.561
1815,8509285,,0.601,0.601
1816,8786876,,0.663,0.663
1817,9073523,,0.718,0.718
1818,9369520,,0.780,0.780
1819,9667277,,0.762,0.762
1820,9966626,26689673216.000,0.791,0.791
1821,10267384,27963713536.000,0.828,0.828
1822,10569360,29657565184.000,0.865,0.865
1823,10872345,30226765824.000,0.901,0.901
1824,11184015,31981950976.000,1.015,1.015
1825,11504621,33619607552.000,1.136,1.136
1826,11834416,34809626624.000,1.315,1.315
1827,12173666,35893989376.000,1.447,1.447
1828,12522641,36860850176.000,1.594,1.594
1829,12879737,36568666112.000,1.795,1.795
1830,13245133,40238456832.000,2.088,2.088
1831,13619015,44058066944.000,2.264,2.264
1832,14001568,47056560128.000,3.023,3.023
1833,14392986,50149629952.000,3.528,3.528
1834,14795346,49144815616.000,3.382,3.382
1835,15208954,52437618688.000,4.316,4.316
1836,15634125,54660300800.000,4.730,4.730
1837,16071181,54343589888.000,5.305,5.305
1838,16520455,55243120640.000,5.031,5.031
1839,16991513,59390148608.000,5.518,5.518
1840,17485246,57903947776.000,5.873,5.873
1841,18002579,58728366080.000,6.214,6.214
1842,18544472,60163727360.000,6.918,6.918
1843,19111919,63127605248.000,7.764,7.764
1844,19696730,68682588160.000,9.307,9.307
1845,20299435,71880056832.000,11.205,11.205
1846,20920583,74456424448.000,12.710,12.710
1847,21560737,78625611776.000,15.070,15.070
1848,22220480,82933096448.000,16.785,16.785
1849,22899875,82996215808.000,18.221,18.221
1850,23599506,85638316032.000,19.793,19.793
1851,24334712,92211322880.000,24.633,24.633
1852,25092277,100197810176.000,26.791,26.791
1853,25872879,110970552320.000,30.162,30.162
1854,26677755,114357379072.000,33.159,33.159
1855,27507660,115306487808.000,38.161,38.161
1856,28363372,121205907456.000,40.037,40.037
1857,29245692,122030284800.000,41.055,41.055
1858,30155449,126084341760.000,41.649,41.649
1859,31050019,133003075584.000,45.320,45.320
1860,31927846,140151914496.000,47.438,47.236
1861,32787298,140904349696.000,45.679,44.818
1862,33626668,149041971200.000,47.449,46.199
1863,34444166,162622111744.000,54.810,53.744
1864,35281525,172058509312.000,58.657,57.792
1865,36139228,167081476096.000,58.822,57.800
1866,37017769,169592864768.000,59.232,57.763
1867,37917653,179172491264.000,72.866,71.499
1868,38839399,185632047104.000,82.352,80.861
1869,39776936,194685255680.000,93.696,91.970
1870,40730489,193277591552.000,98.620,96.572
1871,41700283,202148970496.000,103.021,101.002
1872,42686547,210342264832.000,126.305,123.894
1873,43689508,220907880448.000,139.507,135.656
1874,44716018,219512012800.000,134.297,129.973
1875,45766631,230981042176.000,135.748,132.318
1876,46841911,233741795328.000,132.820,129.336
1877,47942438,241295491072.000,147.176,141.998
1878,49068804,251432419328.000,143.904,137.847
1879,50222152,282359398400.000,175.469,167.606
1880,51403129,315651588096.000,198.684,188.300
1881,52612396,326883213312.000,210.193,199.278
1882,53850630,347742863360.000,235.394,223.262
1883,55118525,356232986624.000,253.883,244.495
1884,56416253,362653646848.000,267.590,257.301
1885,57744514,365398851584.000,272.162,260.313
1886,59104027,376420564992.000,287.463,269.062
1887,60495526,393366405120.000,307.381,284.825
1888,61919765,391556464640.000,373.875,346.574
1889,63326138,415860031488.000,335.542,309.777
1890,64713188,421879382016.000,401.747,372.270
1891,66079404,440079351808.000,427.425,397.225
1892,67423217,482816884736.000,450.449,423.045
1893,68743000,459473420288.000,454.095,428.105
1894,70088593,446220992512.000,425.050,399.376
1895,71460501,500098695168.000,479.948,452.372
1896,72859236,489991405568.000,480.882,450.196
1897,74285324,536744984576.000,500.287,469.465
1898,75739298,547964944384.000,545.321,515.353
1899,77231772,597660532736.000,625.534,592.451
1900,78763706,613998133248.000,662.738,626.544
1901,80336086,683106041856.000,721.528,681.541
1902,81949920,690126913536.000,764.496,715.931
1903,83606240,723766345728.000,894.407,840.042
1904,85296008,714621845504.000,882.058,818.270
1905,87019897,767532728320.000,986.482,913.479
1906,88778597,855994269696.000,1035.471,964.050
1907,90572810,869070536704.000,1203.861,1115.249
1908,92403252,799355568128.000,1052.813,959.763
1909,94167861,890110017536.000,1165.706,1066.609
1910,95863718,893975396352.000,1271.582,1160.396
1911,97487822,917451767808.000,1258.667,1143.128
1912,99037086,954787430400.000,1343.566,1224.395
1913,100508338,986598473728.000,1442.542,1304.578
1914,102001413,905134473216.000,1317.980,1172.136
1915,103516631,925041164288.000,1367.697,1213.597
1916,105054323,1046397583360.000,1518.981,1345.443
1917,106614820,1014196338688.000,1670.971,1481.645
1918,108135496,1099047305216.000,1747.718,1551.136
1919,109687474,1102169636864.000,1479.159,1261.251
1920,111271341,1085154983936.000,1738.246,1465.534
1921,112887696,1054213668864.000,1423.669,1142.651
1922,114537147,1105913446400.000,1435.758,1112.892
1923,116220314,1244263743488.000,1896.736,1509.469
1924,117928215,1274653966336.000,1698.320,1313.207
1925,119661215,1296540106752.000,1758.185,1340.481
1926,121419682,1372770926592.000,1906.048,1477.933
1927,123203991,1378144616448.000,1862.839,1376.693
1928,125014520,1385247277056.000,1830.965,1330.158
1929,126654267,1461345452032.000,1963.506,1404.590
1930,128119335,1322627104768.000,1744.916,1238.166
1931,129405760,1237725741056.000,1484.959,1021.482
1932,130509510,1051216969728.000,1257.814,834.233
1933,131426486,1015524950016.000,1348.877,889.861
1934,132349904,1100529926144.000,1436.239,963.920
1935,133279810,1237782364160.000,1492.321,982.156
1936,134216250,1359902408704.000,1713.412,1143.798
1937,135159270,1462308700160.000,1792.610,1144.951
1938,136108915,1373407805440.000,1515.750,906.794
1939,137254990,1469481091072.000,1670.920,1024.988
1940,138601511,1592319803392.000,1874.985,1168.882
1941,140152562,1815098687488.000,2043.585,1294.762
1942,141912292,2013171023872.000,2198.265,1458.597
1943,143884915,2203245346816.000,2272.059,1470.803
1944,145884958,2361835651072.000,2444.904,1545.850
1945,147912803,2314667556864.000,2359.552,1421.423
1946,149968835,2103900897280.000,2257.494,1298.758
1947,152053446,2070709141504.000,2485.854,1449.231
1948,154167035,2168923226112.000,2582.559,1433.190
1949,156416114,2126235566080.000,2164.862,1063.102
1950,148281552,2320610099200.000,2541.485,1257.232
1951,150598448,2497407877120.000,2618.711,1211.599
1952,152941728,2590801657856.000,2551.219,1074.173
1953,155451200,2709832597504.000,2612.971,1065.955
1954,158205872,2691885432832.000,2489.462,913.446
1955,161136448,2882221375488.000,2728.512,1026.222
1956,164063408,2938405388288.000,2859.995,1068.358
1957,166949120,2993553408000.000,2835.772,1024.081
1958,170147104,2963550502912.000,2747.108,888.344
1959,173324608,3183156920320.000,2831.923,910.978
1960,176188576,3262376312832.000,2897.315,917.964
1961,179087280,3338583932928.000,2886.873,887.443
1962,181917808,3539745112064.000,2993.902,920.818
1963,184649872,3692868403200.000,3126.488,987.008
1964,187277376,3906859958272.000,3264.313,1049.177
1965,189703280,4156141076480.000,3399.547,1090.619
1966,191830976,4428300025856.000,3571.421,1132.718
1967,193782432,4538979319808.000,3705.461,1163.049
1968,195743424,4754925682688.000,3840.919,1139.603
1969,197859328,4903769997312.000,4035.145,1158.000
1970,200328336,4912635707392.000,4339.686,1168.091
1971,202907920,5065682190336.000,4365.465,1107.406
1972,205238384,5334296952832.000,4573.015,1124.841
1973,207314768,5637203296256.000,4785.048,1220.645
1974,209277968,5621366128640.000,4621.046,1199.284
1975,211274544,5605795299328.000,4478.226,1195.032
1976,213270032,5899591090176.000,4747.762,1281.173
1977,215437408,6166912434176.000,4889.607,1315.721
1978,217881440,6518624223232.000,4941.362,1314.183
1979,220463104,6740172079104.000,5008.579,1427.458
1980,223140016,6743208230912.000,4808.521,1453.794
1981,225654000,6911865389056.000,4686.369,1502.932
1982,228001424,6782206869504.000,4447.256,1449.085
1983,230389968,7066236747776.000,4429.374,1504.796
1984,232766288,7581108011008.000,4662.142,1616.103
1985,235146176,7874871820288.000,4652.580,1655.025
1986,237512784,8146027806720.000,4663.370,1635.733
1987,239853168,8432566927360.000,4825.651,1709.484
1988,242287808,8787203194880.000,5050.476,1792.727
1989,244954096,9091291283456.000,5132.134,1813.144
1990,248083728,9250378088448.000,5122.496,1815.064
1991,251560192,9243499429888.000,5064.987,1797.789
1992,255175328,9572148314112.000,5175.220,1817.520
1993,258779760,9834941382656.000,5274.363,1879.878
1994,262273584,10232022433792.000,5365.579,1894.596
1995,265660560,10510263123968.000,5427.798,1914.164
1996,268984352,10909166600192.000,5616.431,1994.607
1997,272395424,11398757220352.000,5691.865,2040.030
1998,275835008,11906028929024.000,5737.129,2064.125
1999,279181568,12463818932224.000,5810.332,2065.358
2000,282398560,12973842104320.000,6016.351,2165.606
2001,285470496,13100471287808.000,5911.988,2100.694
2002,288350240,13334491430912.000,5952.699,2105.588
2003,291109824,13708808945664.000,6015.804,2145.491
2004,293947872,14227881328640.000,6117.963,2166.105
2005,296842656,14703731408896.000,6137.604,2189.646
2006,299753088,15095884152832.000,6057.163,2153.510
2007,302743392,15364464312320.000,6135.287,2176.463
2008,305694912,15319731011584.000,5918.869,2136.485
2009,308512032,14894294368256.000,5482.978,1872.668
2010,311182848,15270622003200.000,5681.392,1982.983
2011,313876608,15509302018048.000,5546.629,1872.951
2012,316651328,15849635184640.000,5345.454,1658.503
2013,319375168,16108428984320.000,5480.926,1720.269
2014,322033952,16482662612992.000,5528.871,1710.368
2015,324607776,16902578503680.000,5376.578,1479.001
